"year","GPP_NT_VUT_REF_sum","NEE_VUT_REF_QC_mean","P_F_sum","P_F_QC_mean","P_ERA_sum","P_F_jfmam_sum","P_F_QC_jfmam_mean","P_ERA_jfmam_sum","TA_F_mean","TA_F_QC_mean","TA_ERA_mean","PPFD_IN_mean","PPFD_IN_QC_mean","SW_IN_F_mean","SW_IN_F_QC_mean","SW_IN_ERA_mean","VPD_F_mean","VPD_F_QC_mean","VPD_ERA_mean","NETRAD_mean","NETRAD_QC_mean","G_F_MDS_mean","G_F_MDS_QC_mean","LE_F_MDS_mean","LE_F_MDS_QC_mean","LE_CORR_mean","H_F_MDS_mean","H_F_MDS_QC_mean","H_CORR_mean","SWC_F_MDS_1_mean","SWC_F_MDS_1_QC_mean","SITE_ID","keep_year","season"
2002,691.26381,0.944067108695652,272.867,1,171.692,317.286,1,201.947,7.18365217391304,0.999773695652174,6.51391304347826,NA,0.662817028985652,180.93802173913,0.950860619565217,176.855673913043,4.36888043478261,0.995697532608696,3.07828260869565,39.9791993089891,0.96739130434762,5.35293163043478,0.994791663043478,46.383975,0.98709247826087,31.2783869565217,8.64987804347826,0.984828065217391,5.6562377173913,NA,NA,"AT-Neu",TRUE,"Spring"
2003,629.19544,0.881340434782609,141.178,1,117.063,175.35,1,146.981,7.53514130434783,1,6.81260869565217,363.877290220837,0.999547101449109,193.536152173913,0.999320760869565,196.988,4.75714130434783,1,3.73536956521739,81.2880940582326,0.997735507246239,5.19216809782609,0.858922032608696,39.7718054347826,0.914175956521739,62.145297826087,8.68959815217391,0.916666739130435,13.5332270652174,34.4685434782609,0.921874945652174,"AT-Neu",TRUE,"Spring"
2004,590.139071,0.881567271739131,168.746,1,141.123,294.247,1,200.612,5.74213043478261,0.866847923913044,4.67458695652174,374.794768078609,0.860280797101478,181.86677173913,0.867980097826087,181.215630434783,3.60291304347826,0.866847923913044,2.99251086956522,73.0714645410631,0.860054347826033,6.19962902173913,0.846014576086957,41.3890247826087,0.937273652173913,48.852657173913,4.84203673913043,0.935235543478261,5.78412717391304,41.8668913043478,0.768795260869565,"AT-Neu",TRUE,"Spring"
2005,644.24215,0.966712010869565,109.633,1,111.755,186.132,1,136.748,6.63851086956522,1,5.81966304347826,362.554890196228,0.99886775362313,183.600336956522,0.995018369565217,185.397815217391,3.90823913043478,1,3.47315217391304,73.2476841131467,0.999547101449239,5.94688510869565,0.999094391304348,46.2908239130435,0.991168576086957,55.5498554347826,5.80036391304348,0.991394880434783,6.95115652173913,44.0004456521739,0.801630326086957,"AT-Neu",TRUE,"Spring"
2006,621.256286,0.800271836956522,156.819,1,163.708,240.129,1,205.273,5.69183695652174,1,5.04961956521739,341.291736586674,0.997961956521815,173.085608695652,1,173.185239130435,3.01698913043478,1,2.86992391304348,69.6822961955902,1,4.28883065217391,1,42.7716630434783,0.850543489130435,55.8967326086957,10.165467173913,0.843750108695652,13.4621352173913,43.9935760869565,1,"AT-Neu",TRUE,"Spring"
2007,822.75357,0.909646695652174,121.804,1,151.432,190.001,1,196.464,8.60997826086956,1,7.66193478260869,373.965908609598,1,192.767489130435,0.992980184782609,189.752489130435,4.85319565217391,1,3.83060869565217,84.4505722845685,1,6.78412673913044,1,57.6095543478261,0.969202989130435,68.5907086956522,6.75392891304348,0.963994782608696,8.10041608695652,31.5492717391304,1,"AT-Neu",TRUE,"Spring"
2008,772.7733,0.975769945652174,118.417,1,175.071,141.106,1,222.521,6.67717391304348,1,5.56111956521739,344.436670807283,0.998641304347663,175.634554347826,0.997735586956522,171.031902173913,3.68805434782609,1,2.84686956521739,82.1840334588533,1,3.05396184782609,1,43.7955804347826,0.996829782608696,68.1724010869565,6.72109739130435,0.995471043478261,11.1127388043478,24.3025652173913,1,"AT-Neu",TRUE,"Spring"
2009,877.696328,0.970108597826087,97.494,1,140.684,143.411,1,196.81,7.79813043478261,1,6.74795652173913,374.78424964225,0.999320652173891,192.420782608696,0.999547065217391,188.15072826087,4.15135869565217,1,3.41957608695652,78.7091786737685,0.999773550724783,3.45232663043478,1,42.1934383695652,0.995697532608696,59.6970680434783,3.6466827173913,0.992074380434783,5.23430326086956,27.4118695652174,1,"AT-Neu",TRUE,"Spring"
2010,703.91696,0.985054239130435,97.694,1,161.222,112.592,1,212.102,6.25819565217391,1,5.18865217391304,329.435688261109,0.999320652173794,173.910543478261,1,171.565673913043,3.24092391304348,1,2.66741304347826,76.2268455615652,1,3.19637782608696,1,40.9406108695652,0.997282847826087,54.5478402173913,14.1623739130435,0.996603347826087,18.5245684782609,31.7960760869565,1,"AT-Neu",TRUE,"Spring"
2011,955.72243,0.973958260869565,95.307,0.999773565217391,142.109,133.714,0.999862039735099,172.153,8.06929347826087,1,7.54539130434783,385.53623867763,1,200.640173913043,1,193.088369565217,4.55971739130435,1,3.84711956521739,80.3087308722989,0.999547101449109,3.52857347826087,1,55.0669260869565,0.997961956521739,66.2032673913043,8.90066315217391,0.995924173913043,10.6841669565217,24.7081304347826,1,"AT-Neu",TRUE,"Spring"
2012,673.40697,0.952219173913043,128.102,1,122.501,172.584,1,156.734,7.43466304347826,1,6.7470652173913,357.560993963957,1,189.973913043478,1,184.018826086957,3.91257608695652,1,3.48786956521739,76.3130288647793,0.999320652173794,3.13822752173913,1,35.9174956521739,0.992980184782609,58.4134380434783,6.50167076086957,0.992074445652174,10.5905766304348,29.4052173913044,1,"AT-Neu",TRUE,"Spring"
1996,NA,0,121.03,0,121.03,202.321,0,202.321,8.18627173913043,0,8.18627173913043,NA,0,147.568239130435,0,147.568239130435,3.53146739130435,0,3.53146739130435,NA,NA,NA,NA,0.00380309326086957,0,0.000293829239130435,-1.07793659782609,0,0.0708665434782609,NA,NA,"BE-Bra",FALSE,"Spring"
1997,NA,0,117.402,1,139.114,186.096,1,251.062,9.95233695652174,0.999320695652174,9.9361847826087,NA,0,155.814945652174,0.789855043478261,155.570326086957,2.9708152173913,0.999320695652174,3.41797826086956,NA,NA,2.01333,0.570199239130435,17.8075894565217,0.629302272826087,6.75232880434783,31.8779858695652,0.924365902173913,9.28642630434783,NA,NA,"BE-Bra",FALSE,"Spring"
1998,NA,0,189.118,1,283.412,263.227,1,369.424,10.6965652173913,1,10.6798913043478,NA,0,133.848815217391,0.971014445652174,140.884108695652,3.33273913043478,1,3.51896739130435,NA,NA,1.64470763043478,1,31.1041129347826,0.792572402173913,13.8930113043478,18.3286945652174,0.834691967391304,16.0483732608696,NA,NA,"BE-Bra",FALSE,"Spring"
1999,393.69847,0.796875195652174,166.893,1,208.676,300.612,1,358.034,10.3403695652174,1,10.700597826087,NA,0,146.958826086957,1,155.919402173913,2.92545652173913,1,3.38876086956522,82.7371248609044,0.998867753623188,1.90175305434783,1,26.5485586956522,0.993659489130435,34.0801840217391,24.9743667391304,0.993885923913044,35.8414192391304,NA,NA,"BE-Bra",TRUE,"Spring"
